,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA,TitlesHTML,SearchLinks,HistScrapped,Reviews,LogRegSlope,LogRegIntcpt,InitPrice,MappedGenres,MappedPublishers,MappedDevelopers,ReleaseDate_Agg,Release_Year,Release_Month,Release_Day,Success,SuccessPredict,SuccessPredictProb,SuccessPredictText
2033,Toby: The Secret Mine,Action-adventure,Lukáš Navrátil,Headup Games,2017-07-06,2017-07-06,2017-07-06,toby+the+secret+mine,https://psprices.com/region-us/search/?q=toby+the+secret+mine&platform=PS4&dlc=hide,True,52.0,-0.000913076178942608,-0.028318272271162882,14.99,Adventure,MedPublishers,LowDevelopers,2017-07-06,2017.0,7.0,6.0,0,0.0,67.39749930186304,Failure
2036,Toki Tori 2+,Platformerpuzzle,Two Tribes,Two Tribes,2016-02-23,2016-02-23,2016-02-23,toki+tori+2+,https://psprices.com/region-us/search/?q=toki+tori+2+&platform=PS4&dlc=hide,True,81.0,-0.00037563737871188017,-0.26399611077565466,14.99,Puzzle,LowPublishers,LowDevelopers,2016-02-23,2016.0,2.0,23.0,0,0.0,77.55950967950368,Failure
2038,Tokyo 42,Action,Smac Games,Mode 7,2017-05-31,2017-05-31,2017-05-31,tokyo+42,https://psprices.com/region-us/search/?q=tokyo+42&platform=PS4&dlc=hide,True,66.0,-0.0010362472885032147,-0.008448463187443907,19.99,Action,LowPublishers,LowDevelopers,2017-05-31,2017.0,5.0,31.0,1,0.0,75.9329944003518,Failure
2040,Tokyo Xanadu eX+,Action role-playing,Nihon Falcom,Aksys Games,2016-09-08,2017-12-08,2017-12-08,tokyo+xanadu+ex+,https://psprices.com/region-us/search/?q=tokyo+xanadu+ex+&platform=PS4&dlc=hide,True,73.0,-0.0009448615761042834,0.04355705361732466,59.99,Action,MedPublishers,HighDevelopers,2017-12-08,2017.0,12.0,8.0,0,0.0,64.53605149507337,Failure
2041,Tomb Raider: Definitive Edition,"Action-adv, Action role-playing",Crystal Dynamics,Square Enix,2014-02-22,2014-01-31,2014-01-28,tomb+raider+definitive+edition,https://psprices.com/region-us/search/?q=tomb+raider+definitive+edition&platform=PS4&dlc=hide,True,84.0,-0.0018394373320526538,-0.5080937179017069,59.99,Action,HighPublishers,MedDevelopers,2014-01-28,2014.0,1.0,28.0,1,1.0,66.01195112143165,Success
2043,Tom Clancy's Ghost Recon Wildlands,Third-person shooter,Ubisoft Paris,Ubisoft,2017-03-07,2017-03-07,2017-03-07,tom+clancys+ghost+recon+wildlands,https://psprices.com/region-us/search/?q=tom+clancys+ghost+recon+wildlands&platform=PS4&dlc=hide,True,71.0,-0.00024162999816258014,0.09659748924119892,52.19,Shooter,HighPublishers,HighDevelopers,2017-03-07,2017.0,3.0,7.0,0,0.0,55.79957635028157,Failure
2045,Tom Clancy's Rainbow Six: Siege,First-person shooter,Ubisoft Montreal,Ubisoft,2015-12-10,2015-10-13,2015-10-13,tom+clancys+rainbow+six+siege,https://psprices.com/region-us/search/?q=tom+clancys+rainbow+six+siege&platform=PS4&dlc=hide,True,75.0,-0.0006378791613353862,0.30940090047330726,41.99,Shooter,HighPublishers,HighDevelopers,2015-10-13,2015.0,10.0,13.0,0,0.0,56.46238284616747,Failure
2046,Tom Clancy's The Division,Action role-playing,Massive Entertainment,Ubisoft,2016-03-10,2016-03-08,2016-03-08,tom+clancys+the+division,https://psprices.com/region-us/search/?q=tom+clancys+the+division&platform=PS4&dlc=hide,True,79.0,-0.0008673516249079351,0.13319012736692132,59.99,Action,HighPublishers,MedDevelopers,2016-03-08,2016.0,3.0,8.0,0,1.0,60.78800453293404,Success
2047,Tom Clancy's The Division 2,Action role-playing,Massive Entertainment,Ubisoft,2019-03-15,2019-03-15,2019-03-15,tom+clancys+the+division+2,https://psprices.com/region-us/search/?q=tom+clancys+the+division+2&platform=PS4&dlc=hide,True,79.0,-0.0013513655261905393,0.16065771953161637,59.99,Action,HighPublishers,MedDevelopers,2019-03-15,2019.0,3.0,15.0,1,0.0,62.794362850570984,Failure
2053,Torment: Tides of Numenera,Role-playing,inXile Entertainment,Techland,2017-02-28,2017-02-28,2017-02-28,torment+tides+of+numenera,https://psprices.com/region-us/search/?q=torment+tides+of+numenera&platform=PS4&dlc=hide,True,80.0,-0.0008400317664081878,-0.011928464495710181,49.99,RPG,LowPublishers,MedDevelopers,2017-02-28,2017.0,2.0,28.0,0,0.0,62.134090231850216,Failure
2056,Touhou Kobuto V: Burst Battle,Fighting,Cube Type,NIS America,2016-11-02,2017-10-13,2017-10-10,touhou+kobuto+v+burst+battle,https://psprices.com/region-us/search/?q=touhou+kobuto+v+burst+battle&platform=PS4&dlc=hide,True,38.0,-0.002165382493691354,0.22748412481696384,29.99,Action,MedPublishers,MedDevelopers,2017-10-10,2017.0,10.0,10.0,1,1.0,53.48378568782378,Success
2059,Toukiden 2,Action role-playing,Koei Tecmo,Koei Tecmo,2016-06-30,2017-04-21,2017-03-21,toukiden+2,https://psprices.com/region-us/search/?q=toukiden+2&platform=PS4&dlc=hide,True,76.0,-0.00047670388208245057,-0.04299571996102701,59.99,Action,HighPublishers,HighDevelopers,2017-03-21,2017.0,3.0,21.0,0,0.0,59.105215633866024,Failure
2060,Toukiden: Kiwami,Action role-playing,Koei Tecmo,Koei Tecmo,2014-08-28,2015-03-27,2015-03-31,toukiden+kiwami,https://psprices.com/region-us/search/?q=toukiden+kiwami&platform=PS4&dlc=hide,True,76.0,-0.0004869180291527401,-0.07896634169097487,59.99,Action,HighPublishers,HighDevelopers,2015-03-31,2015.0,3.0,31.0,0,1.0,52.086832130912484,Success
2064,Tower of Guns,First-person shooter,Terrible Posture Games,Terrible Posture Games,2015-05-07,2015-04-08,2015-04-08,tower+of+guns,https://psprices.com/region-us/search/?q=tower+of+guns&platform=PS4&dlc=hide,True,69.0,-0.0014571053620990914,0.039215841925707484,14.99,Shooter,LowPublishers,MedDevelopers,2015-04-08,2015.0,4.0,8.0,1,0.0,55.934733097412035,Failure
2065,TowerFall Ascension,"Arena combat, platformer",Matt Thorson,Matt Makes Games,2014-07-16,2014-03-19,2014-03-11,towerfall+ascension,https://psprices.com/region-us/search/?q=towerfall+ascension&platform=PS4&dlc=hide,True,84.0,-0.0006653045696676206,-0.2523303883789697,14.99,Platformer,LowPublishers,MedDevelopers,2014-03-11,2014.0,3.0,11.0,0,0.0,59.8015062763802,Failure
2066,The Town of Light,"Adventure, horror",LKA,Wired Productions,2017-06-06,2017-06-06,2017-06-06,the+town+of+light,https://psprices.com/region-us/search/?q=the+town+of+light&platform=PS4&dlc=hide,True,64.0,-0.0010917792496944038,-0.005644451147868521,19.99,Horror,MedPublishers,LowDevelopers,2017-06-06,2017.0,6.0,6.0,1,0.0,71.66502107658619,Failure
2068,TrackMania Turbo,Racing,Nadeo,Ubisoft,2016-03-24,2016-03-24,2016-03-22,trackmania+turbo,https://psprices.com/region-us/search/?q=trackmania+turbo&platform=PS4&dlc=hide,True,77.0,-0.0006073601012525692,-0.1949863925437078,39.99,Sports,HighPublishers,LowDevelopers,2016-03-22,2016.0,3.0,22.0,0,0.0,59.62220469995931,Failure
2076,Transistor,Action role-playing,Supergiant Games,Supergiant Games,2015-04-20,2014-05-21,2014-05-20,transistor,https://psprices.com/region-us/search/?q=transistor&platform=PS4&dlc=hide,True,85.0,-0.0005790912444074294,-0.24899109849671636,19.99,Action,LowPublishers,MedDevelopers,2014-05-20,2014.0,5.0,20.0,0,0.0,61.487208719864995,Failure
2078,Travis Strikes Again: No More Heroes,Action-adventurehack and slash,Grasshopper Manufacture,NA: Xseed GamesWW: Marvelous,2019-10-17,2019-10-17,2019-10-17,travis+strikes+again+no+more+heroes,https://psprices.com/region-us/search/?q=travis+strikes+again+no+more+heroes&platform=PS4&dlc=hide,True,68.0,-0.0035506605243694573,0.08359190707372122,39.99,Action,LowPublishers,MedDevelopers,2019-10-17,2019.0,10.0,17.0,1,0.0,73.50356547698314,Failure
2081,Trials Fusion,Racingplatform,RedLynx,Ubisoft,2014-04-29,2014-04-16,2014-04-16,trials+fusion,https://psprices.com/region-us/search/?q=trials+fusion&platform=PS4&dlc=hide,True,78.0,-0.0003140791171688434,-0.2343593861872687,19.99,Sports,HighPublishers,MedDevelopers,2014-04-16,2014.0,4.0,16.0,0,0.0,51.35025551728326,Failure
2082,Trials of the Blood Dragon,Platformer,RedLynx,Ubisoft,2016-06-16,2016-06-16,2016-06-16,trials+of+the+blood+dragon,https://psprices.com/region-us/search/?q=trials+of+the+blood+dragon&platform=PS4&dlc=hide,True,53.0,-0.0011612975313747599,0.0005019190093254466,14.99,Platformer,HighPublishers,MedDevelopers,2016-06-16,2016.0,6.0,16.0,1,0.0,52.01755598126589,Failure
2084,Tricky Towers,"Party, puzzle",WeirdBeard,WeirdBeard,2016-10-05,2016-08-02,2016-08-02,tricky+towers,https://psprices.com/region-us/search/?q=tricky+towers&platform=PS4&dlc=hide,True,70.0,-0.00013594357647334402,-0.17318664585476437,14.99,Puzzle,LowPublishers,LowDevelopers,2016-08-02,2016.0,8.0,2.0,0,0.0,68.84512380923317,Failure
2086,Trine 2: Complete Story,Platformerpuzzle,Frozenbyte,Frozenbyte,2015-07-08,2013-11-29,2013-11-15,trine+2+complete+story,https://psprices.com/region-us/search/?q=trine+2+complete+story&platform=PS4&dlc=hide,True,86.0,-0.0014816489290566796,-0.16603946763459473,19.99,Puzzle,MedPublishers,HighDevelopers,2013-11-15,2013.0,11.0,15.0,1,0.0,70.16271261703402,Failure
2091,Tropico 5,Simulation,Haemimont Games,JP: Square EnixWW: Kalypso Media,2015-06-25,2015-04-25,2015-04-24,tropico+5,https://psprices.com/region-us/search/?q=tropico+5&platform=PS4&dlc=hide,True,75.0,-0.0008164235879942295,0.08079755809526488,59.99,Simulation,LowPublishers,MedDevelopers,2015-04-24,2015.0,4.0,24.0,0,1.0,61.73927707128573,Success
