,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA,TitlesHTML,SearchLinks,HistScrapped,Reviews,LogRegSlope,LogRegIntcpt,InitPrice,MappedGenres,MappedPublishers,MappedDevelopers,ReleaseDate_Agg,Release_Year,Release_Month,Release_Day,Success,SuccessPredict,SuccessPredictProb,SuccessPredictText
4,11-11: Memories Retold,Adventure,AardmanDigixArt,Bandai Namco Entertainment,2018-11-09,2018-11-09,2018-11-09,11-11+memories+retold,https://psprices.com/region-us/search/?q=11-11+memories+retold&platform=PS4&dlc=hide,True,77.0,-0.0022154891703057623,0.08365732990105858,29.99,Adventure,HighPublishers,LowDevelopers,2018-11-09,2018.0,11.0,9.0,1,0.0,77.49213678622189,Failure
8,1001 Spikes,Platform,8bits Fanatics,Nicalis,2015-11-27,2015-10-07,2014-06-03,1001+spikes,https://psprices.com/region-us/search/?q=1001+spikes&platform=PS4&dlc=hide,True,79.0,0.0,0.0,14.99,Platformer,MedPublishers,LowDevelopers,2014-06-03,2014.0,6.0,3.0,0,0.0,63.96367856482213,Failure
9,2064: Read Only Memories,Adventure,MidBoss,MidBoss,2017-01-17,2017-01-17,2017-01-17,2064+read+only+memories,https://psprices.com/region-us/search/?q=2064+read+only+memories&platform=PS4&dlc=hide,True,79.0,-8.351614173901154e-05,-0.2728418824112891,19.99,Adventure,LowPublishers,LowDevelopers,2017-01-17,2017.0,1.0,17.0,0,0.0,77.72447300318123,Failure
10,20XX,Actionplatform,Batterystaple Games,Batterystaple Games,2018-07-10,2018-07-10,2018-07-10,20xx,https://psprices.com/region-us/search/?q=20xx&platform=PS4&dlc=hide,True,79.0,-0.0006490823532992725,-0.062488000195491035,17.99,Action,LowPublishers,LowDevelopers,2018-07-10,2018.0,7.0,10.0,0,0.0,83.76388985139114,Failure
11,The 25th Ward: The Silver Case,Visual novel,Grasshopper Manufacture,NIS America,2018-03-15,2018-03-13,2018-03-13,the+25th+ward+the+silver+case,https://psprices.com/region-us/search/?q=the+25th+ward+the+silver+case&platform=PS4&dlc=hide,True,66.0,-0.0004923746100182978,-0.03800816286294932,29.99,Adventure,MedPublishers,MedDevelopers,2018-03-13,2018.0,3.0,13.0,0,0.0,69.72199705329149,Failure
12,2Dark,"Horror, stealth",Gloomywood,Bigben Interactive,2017-06-29,2017-03-10,2017-03-10,2dark,https://psprices.com/region-us/search/?q=2dark&platform=PS4&dlc=hide,True,75.0,-0.0009214822205595669,-0.024800629888044268,49.99,Horror,HighPublishers,LowDevelopers,2017-03-10,2017.0,3.0,10.0,0,0.0,55.56602376719333,Failure
13,428: Shibuya Scramble,Visual novel,Abstraction Games,Spike Chunsoft,2018-09-06,2018-09-21,2018-09-04,428+shibuya+scramble,https://psprices.com/region-us/search/?q=428+shibuya+scramble&platform=PS4&dlc=hide,True,85.0,-0.0001074890869671281,-0.2507049095906858,49.99,Adventure,MedPublishers,MedDevelopers,2018-09-04,2018.0,9.0,4.0,0,0.0,71.55196778650507,Failure
19,88 Heroes,Platform,Bitmap Bureau,Rising Star Games,2017-03-24,2017-03-24,2017-03-24,88+heroes,https://psprices.com/region-us/search/?q=88+heroes&platform=PS4&dlc=hide,True,75.0,-0.0005663964643414519,-0.06460825876005243,14.99,Platformer,MedPublishers,MedDevelopers,2017-03-24,2017.0,3.0,24.0,0,0.0,78.7826850929697,Failure
24,Aaero,Shooter,Mad Fellows Games,Reverb Triple XP,2018-01-10,2017-04-11,2017-04-11,aaero,https://psprices.com/region-us/search/?q=aaero&platform=PS4&dlc=hide,True,67.0,-0.0005493930591670786,-0.10805009084267488,14.99,Shooter,LowPublishers,LowDevelopers,2017-04-11,2017.0,4.0,11.0,0,0.0,73.45694502436629,Failure
28,Absolver,Action role-playing,Sloclap,Devolver Digital,2019-08-22,2017-08-29,2017-08-29,absolver,https://psprices.com/region-us/search/?q=absolver&platform=PS4&dlc=hide,True,73.0,-0.0004283984628287229,0.038667477515416646,26.99,Action,HighPublishers,LowDevelopers,2017-08-29,2017.0,8.0,29.0,0,0.0,74.84455216273696,Failure
36,Action Henk,Platform,RageSquid,Curve Digital,2016-03-09,2016-03-08,2016-03-08,action+henk,https://psprices.com/region-us/search/?q=action+henk&platform=PS4&dlc=hide,True,69.0,-0.0012096154578868292,-0.11716999886995969,14.99,Platformer,HighPublishers,LowDevelopers,2016-03-08,2016.0,3.0,8.0,1,0.0,64.26834323334938,Failure
43,Aegis Defenders,"Action, strategy",Guts Department,Guts Department,2018-02-08,2018-02-08,2018-02-08,aegis+defenders,https://psprices.com/region-us/search/?q=aegis+defenders&platform=PS4&dlc=hide,True,77.0,-8.591369082165256e-05,-0.15871502940239868,19.99,Action,LowPublishers,LowDevelopers,2018-02-08,2018.0,2.0,8.0,0,0.0,80.05559837961877,Failure
44,Aegis of Earth: Protonovus Assault,Tower defense,Acquire,Aksys Games,2016-08-01,2016-04-22,2016-03-15,aegis+of+earth+protonovus+assault,https://psprices.com/region-us/search/?q=aegis+of+earth+protonovus+assault&platform=PS4&dlc=hide,True,58.0,-0.0006451066125030446,-0.10458186724894841,39.99,Strategy,MedPublishers,HighDevelopers,2016-03-15,2016.0,3.0,15.0,0,0.0,55.94215043646427,Failure
45,AER: Memories of Old,Adventure,Forgotten Key,Daedalic Entertainment,2017-10-25,2017-10-25,2017-10-25,aer+memories+of+old,https://psprices.com/region-us/search/?q=aer+memories+of+old&platform=PS4&dlc=hide,True,67.0,-0.0005493930591670786,-0.10805009084267488,14.99,Adventure,MedPublishers,LowDevelopers,2017-10-25,2017.0,10.0,25.0,0,0.0,81.40864333243563,Failure
50,Agatha Christie: The ABC Murders,Point-and-click adventure,Artefacts Studio,Microïds,2017-04-28,2016-02-04,2016-02-23,agatha+christie+the+abc+murders,https://psprices.com/region-us/search/?q=agatha+christie+the+abc+murders&platform=PS4&dlc=hide,True,66.0,-0.0013354964934661298,-0.29380933426128425,39.99,Adventure,MedPublishers,MedDevelopers,2016-02-23,2016.0,2.0,23.0,1,0.0,52.864837157758984,Failure
52,Agents of Mayhem,"Action, third-person",Volition,Deep Silver,2017-12-07,2017-08-18,2017-08-15,agents+of+mayhem,https://psprices.com/region-us/search/?q=agents+of+mayhem&platform=PS4&dlc=hide,True,67.0,-0.0033236899164035562,-0.28029864934020576,59.99,Action,MedPublishers,MedDevelopers,2017-08-15,2017.0,8.0,15.0,1,1.0,50.3650244640807,Success
64,Akiba's Beat,Action role-playing,Acquire,Marvelous USA,2016-12-15,2017-03-19,2017-05-02,akibas+beat,https://psprices.com/region-us/search/?q=akibas+beat&platform=PS4&dlc=hide,True,58.0,-0.0012063334954870676,-0.13315753224987392,49.99,Action,LowPublishers,HighDevelopers,2017-05-02,2017.0,5.0,2.0,1,0.0,50.728548144923835,Failure
65,Akiba's Trip: Undead & Undressed,Action role-playing,Acquire,Marvelous USA,2014-07-03,2015-02-13,2014-11-25,akibas+trip+undead+undressed,https://psprices.com/region-us/search/?q=akibas+trip+undead+undressed&platform=PS4&dlc=hide,True,62.0,-0.0012469334793030907,-0.09583590157657476,49.99,Action,LowPublishers,HighDevelopers,2014-11-25,2014.0,11.0,25.0,1,1.0,57.13426094144868,Success
67,Alekhine's Gun,"Action, stealth",Haggard Games,Maximum Games,2015-11-10,2016-03-11,2015-11-01,alekhines+gun,https://psprices.com/region-us/search/?q=alekhines+gun&platform=PS4&dlc=hide,True,32.0,-0.0025784846097610956,-0.014858635954033661,49.99,Action,MedPublishers,LowDevelopers,2015-11-01,2015.0,11.0,1.0,1,1.0,77.84649811172893,Success
68,Alienation,Shoot 'em up,Housemarque,Sony Interactive Entertainment,2016-06-02,2016-04-26,2016-04-26,alienation,https://psprices.com/region-us/search/?q=alienation&platform=PS4&dlc=hide,True,78.0,-0.0005871828095028827,0.05354907028473331,17.99,Shooter,HighPublishers,HighDevelopers,2016-04-26,2016.0,4.0,26.0,0,0.0,77.69683237215419,Failure
69,Alien: Isolation,Survival horror,Creative Assembly,Sega,2015-06-11,2014-10-07,2014-10-07,alien+isolation,https://psprices.com/region-us/search/?q=alien+isolation&platform=PS4&dlc=hide,True,80.0,-0.0012738881259341198,-0.0743236722029557,59.99,Horror,HighPublishers,LowDevelopers,2014-10-07,2014.0,10.0,7.0,1,1.0,65.01728936477562,Success
84,AngerForce: Reloaded,Shoot 'em up,Screambox Studio,Zodiac Interactive,2019-08-08,2019-04-02,2019-04-02,angerforce+reloaded,https://psprices.com/region-us/search/?q=angerforce+reloaded&platform=PS4&dlc=hide,True,90.0,-0.00014478690546801024,-0.10650100198603671,9.99,Shooter,LowPublishers,LowDevelopers,2019-04-02,2019.0,4.0,2.0,0,0.0,90.63846773755422,Failure
86,Anima: Gate of Memories,Action role-playing,Anima Project,BadLand Games,2017-01-01,2016-06-03,2017-03-21,anima+gate+of+memories,https://psprices.com/region-us/search/?q=anima+gate+of+memories&platform=PS4&dlc=hide,True,57.0,-0.000648798193489573,0.005739625653875376,19.99,Action,MedPublishers,LowDevelopers,2017-03-21,2017.0,3.0,21.0,0,0.0,70.01212449435832,Failure
94,Antiquia Lost,Role-playing,Exe Create,Kemco,2017-08-16,2017-09-05,2017-09-05,antiquia+lost,https://psprices.com/region-us/search/?q=antiquia+lost&platform=PS4&dlc=hide,True,53.0,-0.0003914883378477248,-0.07296924063871589,14.99,RPG,MedPublishers,HighDevelopers,2017-09-05,2017.0,9.0,5.0,0,0.0,73.2485143566799,Failure
102,Aragami,"Action, stealth",Lince Works,Merge Games,2016-10-04,2016-10-04,2016-10-04,aragami,https://psprices.com/region-us/search/?q=aragami&platform=PS4&dlc=hide,True,71.0,-0.0001504219696440498,-0.13774998963948534,19.99,Action,MedPublishers,LowDevelopers,2016-10-04,2016.0,10.0,4.0,0,0.0,71.27983163364479,Failure
103,Arcade Classics Anniversary Collection,Shoot 'em up,Konami,Konami,2019-06-12,2019-04-18,2019-04-18,arcade+classics+anniversary+collection,https://psprices.com/region-us/search/?q=arcade+classics+anniversary+collection&platform=PS4&dlc=hide,True,62.0,-0.00016238239694511678,-0.17563079979236057,19.99,Shooter,HighPublishers,HighDevelopers,2019-04-18,2019.0,4.0,18.0,0,0.0,81.82272305691981,Failure
107,Ark: Survival Evolved,"Action, survival",Studio Wildcard,Studio Wildcard,2017-10-26,2017-08-29,2017-08-29,ark+survival+evolved,https://psprices.com/region-us/search/?q=ark+survival+evolved&platform=PS4&dlc=hide,True,67.0,-0.0005140091432432086,-0.029908297187614157,59.99,Action,LowPublishers,LowDevelopers,2017-08-29,2017.0,8.0,29.0,0,0.0,56.16606767395965,Failure
108,Armello,"Board game, role-playing",League of Geeks,League of Geeks,2015-09-02,2015-09-01,2015-09-01,armello,https://psprices.com/region-us/search/?q=armello&platform=PS4&dlc=hide,True,78.0,-0.0011129478465743876,0.004103292565653146,19.99,Puzzle,LowPublishers,LowDevelopers,2015-09-01,2015.0,9.0,1.0,1,0.0,65.08605141751482,Failure
109,Arslan: The Warriors of Legend,Action,Koei Tecmo,Koei Tecmo,2015-10-01,2016-02-12,2016-02-09,arslan+the+warriors+of+legend,https://psprices.com/region-us/search/?q=arslan+the+warriors+of+legend&platform=PS4&dlc=hide,True,69.0,0.0,0.0,59.99,Action,HighPublishers,HighDevelopers,2016-02-09,2016.0,2.0,9.0,0,1.0,57.5273541266503,Success
112,Asdivine Hearts,Role-playing,Kotobuki Solution,Kemco,2017-01-10,2017-11-07,2016-12-13,asdivine+hearts,https://psprices.com/region-us/search/?q=asdivine+hearts&platform=PS4&dlc=hide,True,52.0,-0.0009055635754663809,0.021497030285832098,14.99,RPG,MedPublishers,LowDevelopers,2016-12-13,2016.0,12.0,13.0,0,0.0,65.5801552541296,Failure
119,Assassin's Creed III Remastered,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,2019-03-29,2019-03-29,2019-03-29,assassins+creed+iii+remastered,https://psprices.com/region-us/search/?q=assassins+creed+iii+remastered&platform=PS4&dlc=hide,True,69.0,-0.0008219326580442207,-0.034566587614865175,39.99,Action,HighPublishers,HighDevelopers,2019-03-29,2019.0,3.0,29.0,0,0.0,79.21010256368322,Failure
120,Assassin's Creed IV: Black Flag,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,2014-02-22,2013-11-22,2013-11-19,assassins+creed+iv+black+flag,https://psprices.com/region-us/search/?q=assassins+creed+iv+black+flag&platform=PS4&dlc=hide,True,85.0,-0.0017121586656823485,-0.11639124888149593,49.99,Action,HighPublishers,HighDevelopers,2013-11-19,2013.0,11.0,19.0,1,1.0,53.1328129221728,Success
121,Assassin's Creed Chronicles: China,"Action-adventure, stealth",Climax Studios,Ubisoft,2015-04-22,2015-04-22,2015-04-21,assassins+creed+chronicles+china,https://psprices.com/region-us/search/?q=assassins+creed+chronicles+china&platform=PS4&dlc=hide,True,67.0,4.312114005392887e-05,-0.35179533311284017,9.99,Action,HighPublishers,MedDevelopers,2015-04-21,2015.0,4.0,21.0,0,0.0,58.28607611881744,Failure
122,Assassin's Creed Chronicles: India,"Action-adventure, stealth",Climax Studios,Ubisoft,2016-01-12,2016-01-12,2016-01-13,assassins+creed+chronicles+india,https://psprices.com/region-us/search/?q=assassins+creed+chronicles+india&platform=PS4&dlc=hide,True,62.0,-0.0011705945482467788,-0.030759203482906124,9.99,Action,HighPublishers,MedDevelopers,2016-01-13,2016.0,1.0,13.0,1,0.0,57.58820185134046,Failure
123,Assassin's Creed Chronicles: Russia,"Action-adventure, stealth",Climax Studios,Ubisoft,2016-02-25,2016-02-09,2016-02-09,assassins+creed+chronicles+russia,https://psprices.com/region-us/search/?q=assassins+creed+chronicles+russia&platform=PS4&dlc=hide,True,58.0,-0.0010236227069166579,-0.10341938703686127,9.99,Action,HighPublishers,MedDevelopers,2016-02-09,2016.0,2.0,9.0,1,0.0,54.04560604570825,Failure
124,Assassin's Creed: The Ezio Collection,"Action-adventure, stealth",Virtuos,Ubisoft,2016-11-15,2016-11-15,2016-11-15,assassins+creed+the+ezio+collection,https://psprices.com/region-us/search/?q=assassins+creed+the+ezio+collection&platform=PS4&dlc=hide,True,72.0,-0.001053218999079254,-0.08304964397967207,59.99,Action,HighPublishers,LowDevelopers,2016-11-15,2016.0,11.0,15.0,1,1.0,53.57849675153914,Success
126,Assassin's Creed: Origins,"Action-adventure, stealth",Ubisoft,Ubisoft,2017-10-27,2017-10-27,2017-10-27,assassins+creed+origins,https://psprices.com/region-us/search/?q=assassins+creed+origins&platform=PS4&dlc=hide,True,84.0,-0.000818683765930829,0.02273567688955115,59.99,Action,HighPublishers,MedDevelopers,2017-10-27,2017.0,10.0,27.0,0,0.0,60.06141340757958,Failure
127,Assassin's Creed Rogue Remastered,"Action-adventure, stealth",Ubisoft Sofia,Ubisoft,2018-03-20,2018-03-20,2018-03-20,assassins+creed+rogue+remastered,https://psprices.com/region-us/search/?q=assassins+creed+rogue+remastered&platform=PS4&dlc=hide,True,72.0,-0.0002284754561786777,-0.0959309485336731,29.99,Action,HighPublishers,LowDevelopers,2018-03-20,2018.0,3.0,20.0,0,0.0,73.962150379454,Failure
128,Assassin's Creed Syndicate,"Action-adventure, stealth",Ubisoft Quebec,Ubisoft,2015-10-23,2015-10-23,2015-10-23,assassins+creed+syndicate,https://psprices.com/region-us/search/?q=assassins+creed+syndicate&platform=PS4&dlc=hide,True,76.0,-0.0013867599998731387,0.08014408946681031,59.99,Action,HighPublishers,MedDevelopers,2015-10-23,2015.0,10.0,23.0,1,1.0,61.20922236109752,Success
129,Assassin's Creed Unity,"Action-adventure, stealth",Ubisoft Toronto,Ubisoft,2014-12-04,2014-11-13,2014-11-11,assassins+creed+unity,https://psprices.com/region-us/search/?q=assassins+creed+unity&platform=PS4&dlc=hide,True,70.0,-0.001530223413704553,0.017977006424810288,59.99,Action,HighPublishers,MedDevelopers,2014-11-11,2014.0,11.0,11.0,1,1.0,74.10596396799072,Success
130,Assault Android Cactus,Shoot 'em up,Witch Beam,Witch Beam,2016-03-09,2016-03-08,2016-03-08,assault+android+cactus,https://psprices.com/region-us/search/?q=assault+android+cactus&platform=PS4&dlc=hide,True,82.0,-0.0008223573449812338,-0.1858762677574678,14.99,Shooter,LowPublishers,LowDevelopers,2016-03-08,2016.0,3.0,8.0,0,0.0,75.01005943593832,Failure
131,Assault Suit Leynos,Shooter,Dracue Software,Extreme,2015-12-23,2016-07-14,2016-07-12,assault+suit+leynos,https://psprices.com/region-us/search/?q=assault+suit+leynos&platform=PS4&dlc=hide,True,71.0,-0.0004232052918878039,-0.11721212966886901,19.99,Shooter,LowPublishers,LowDevelopers,2016-07-12,2016.0,7.0,12.0,0,0.0,69.11129638834073,Failure
133,Assetto Corsa,Racing,Kunos Simulazioni,505 Games,2018-09-27,2016-08-26,2016-08-30,assetto+corsa,https://psprices.com/region-us/search/?q=assetto+corsa&platform=PS4&dlc=hide,True,67.0,-0.0009396652002251986,-0.014121589653545125,49.99,Sports,HighPublishers,LowDevelopers,2016-08-30,2016.0,8.0,30.0,0,0.0,51.95656211865567,Failure
142,Atelier Firis: The Alchemist and the Mysterious Journey,Role-playing,Gust,Koei Tecmo,2016-11-02,2017-03-07,2017-03-10,atelier+firis+the+alchemist+and+the+mysterious+journey,https://psprices.com/region-us/search/?q=atelier+firis+the+alchemist+and+the+mysterious+journey&platform=PS4&dlc=hide,True,75.0,-0.00023779108896931567,-0.07490689306569331,59.99,RPG,HighPublishers,HighDevelopers,2017-03-10,2017.0,3.0,10.0,0,0.0,54.917696088816804,Failure
143,Atelier Lulua: The Scion of Arland,Role-playing,Gust,Koei Tecmo,2019-03-20,2019-05-24,2019-05-21,atelier+lulua+the+scion+of+arland,https://psprices.com/region-us/search/?q=atelier+lulua+the+scion+of+arland&platform=PS4&dlc=hide,True,79.0,-0.0003375306219110588,-0.038810151421999416,59.99,RPG,HighPublishers,HighDevelopers,2019-05-21,2019.0,5.0,21.0,0,0.0,74.71567731385768,Failure
145,Atelier Meruru: The Apprentice of Arland,Role-playing,Gust,Koei Tecmo,2018-09-20,2018-12-04,2018-12-04,atelier+meruru+the+apprentice+of+arland,https://psprices.com/region-us/search/?q=atelier+meruru+the+apprentice+of+arland&platform=PS4&dlc=hide,True,80.0,0.00011303796047474474,-0.056720414665208004,39.99,RPG,HighPublishers,HighDevelopers,2018-12-04,2018.0,12.0,4.0,0,0.0,77.83474064824478,Failure
146,Atelier Rorona: The Alchemist of Arland,Role-playing,Gust,Koei Tecmo,2018-09-20,2018-12-04,2018-12-04,atelier+rorona+the+alchemist+of+arland,https://psprices.com/region-us/search/?q=atelier+rorona+the+alchemist+of+arland&platform=PS4&dlc=hide,True,71.0,0.00011303796047474474,-0.056720414665208004,39.99,RPG,HighPublishers,HighDevelopers,2018-12-04,2018.0,12.0,4.0,0,0.0,73.01889679812699,Failure
149,Atelier Sophie: The Alchemist of the Mysterious Book,Role-playing,Gust,Tecmo Koei,2015-11-19,2016-06-10,2016-06-07,atelier+sophie+the+alchemist+of+the+mysterious+book,https://psprices.com/region-us/search/?q=atelier+sophie+the+alchemist+of+the+mysterious+book&platform=PS4&dlc=hide,True,76.0,-0.0006485009322127857,-0.01784247846221473,59.99,RPG,MedPublishers,HighDevelopers,2016-06-07,2016.0,6.0,7.0,0,0.0,55.96950672682364,Failure
150,Atelier Totori: The Adventurer of Arland,Role-playing,Gust,Koei Tecmo,2018-09-20,2018-12-04,2018-12-04,atelier+totori+the+adventurer+of+arland,https://psprices.com/region-us/search/?q=atelier+totori+the+adventurer+of+arland&platform=PS4&dlc=hide,True,77.0,0.00011303796047474474,-0.056720414665208004,39.99,RPG,HighPublishers,HighDevelopers,2018-12-04,2018.0,12.0,4.0,0,0.0,76.30067062653974,Failure
152,Attack on Titan,Action,Omega Force,Koei Tecmo,2016-02-18,2016-08-26,2016-08-30,attack+on+titan,https://psprices.com/region-us/search/?q=attack+on+titan&platform=PS4&dlc=hide,True,74.0,-0.0004634496869149522,-0.09101522681358266,59.99,Action,HighPublishers,HighDevelopers,2016-08-30,2016.0,8.0,30.0,0,0.0,56.332720241142596,Failure
153,Attack on Titan 2,Action,Omega Force,Koei Tecmo,2018-03-15,2018-03-20,2018-03-20,attack+on+titan+2,https://psprices.com/region-us/search/?q=attack+on+titan+2&platform=PS4&dlc=hide,True,74.0,-0.0003604216689294069,-0.011422241812492382,59.99,Action,HighPublishers,HighDevelopers,2018-03-20,2018.0,3.0,20.0,0,0.0,64.29056913303663,Failure
163,A Hole New World,Platformer,Mad Gear Games,JP: EastAsiaSoftWW: Hidden Trap,2019-10-04,2017-10-06,2017-10-06,a+hole+new+world,https://psprices.com/region-us/search/?q=a+hole+new+world&platform=PS4&dlc=hide,True,72.0,-0.0023083129154702516,0.2259998298500695,9.99,Platformer,LowPublishers,LowDevelopers,2017-10-06,2017.0,10.0,6.0,1,0.0,79.6120424915265,Failure
165,Axiom Verge,Metroidvania,Thomas Happ Games,Thomas Happ Games,2015-03-31,2015-03-31,2015-03-31,axiom+verge,https://psprices.com/region-us/search/?q=axiom+verge&platform=PS4&dlc=hide,True,84.0,-0.00027304276391194914,-0.05123172209846747,19.99,Action,LowPublishers,LowDevelopers,2015-03-31,2015.0,3.0,31.0,0,0.0,73.91601074850544,Failure
172,Badland: Game of the Year Edition,Platform,Frogmind,Frogmind,2017-06-07,2015-05-28,2015-05-26,badland+game+of+the+year+edition,https://psprices.com/region-us/search/?q=badland+game+of+the+year+edition&platform=PS4&dlc=hide,True,74.0,7.61949239726763e-05,-0.11465365499509192,11.99,Platformer,LowPublishers,LowDevelopers,2015-05-26,2015.0,5.0,26.0,0,0.0,71.7095653964781,Failure
173,Bad North,Real-time strategy,Plausible Concept,Raw Fury,2018-09-06,2018-08-28,2018-08-28,bad+north,https://psprices.com/region-us/search/?q=bad+north&platform=PS4&dlc=hide,True,69.0,-0.0003172762263968443,-0.0177625159366639,14.99,Strategy,MedPublishers,LowDevelopers,2018-08-28,2018.0,8.0,28.0,0,0.0,86.0142636838157,Failure
184,Batman: Arkham Knight,Action-adventure,Rocksteady Studios,WB Games,2015-07-02,2015-06-23,2015-06-23,batman+arkham+knight,https://psprices.com/region-us/search/?q=batman+arkham+knight&platform=PS4&dlc=hide,True,85.0,-0.0028072635005131235,0.26445789438727174,59.99,Adventure,HighPublishers,MedDevelopers,2015-06-23,2015.0,6.0,23.0,1,1.0,57.21059533655334,Success
185,Batman: Return to Arkham,Action-adventure,Rocksteady Studios,WB Games,2017-02-23,2016-10-18,2016-10-18,batman+return+to+arkham,https://psprices.com/region-us/search/?q=batman+return+to+arkham&platform=PS4&dlc=hide,True,76.0,-0.002355264444425658,0.16029105114821957,44.99,Adventure,HighPublishers,MedDevelopers,2016-10-18,2016.0,10.0,18.0,1,0.0,53.38367198725689,Failure
189,Battle Chasers: Nightwar,Role-playing,Airship Syndicate,Nordic Games,2018-06-06,2017-10-03,2017-10-03,battle+chasers+nightwar,https://psprices.com/region-us/search/?q=battle+chasers+nightwar&platform=PS4&dlc=hide,True,80.0,-0.0007140154302851601,-0.041913586535663024,29.99,RPG,MedPublishers,MedDevelopers,2017-10-03,2017.0,10.0,3.0,0,0.0,72.82208804780478,Failure
190,Battlefield 1,First-person shooter,EA DICE,Electronic Arts,2016-10-21,2016-10-21,2016-10-21,battlefield+1,https://psprices.com/region-us/search/?q=battlefield+1&platform=PS4&dlc=hide,True,87.0,-0.000745338094085728,-0.05687308831948584,59.99,Shooter,HighPublishers,MedDevelopers,2016-10-21,2016.0,10.0,21.0,0,0.0,53.16833901217716,Failure
191,Battlefield 4,First-person shooter,EA DICE,Electronic Arts,2014-02-22,2013-11-29,2013-11-15,battlefield+4,https://psprices.com/region-us/search/?q=battlefield+4&platform=PS4&dlc=hide,True,78.0,-0.001377072855075644,-0.29635000738534834,49.99,Shooter,HighPublishers,MedDevelopers,2013-11-15,2013.0,11.0,15.0,1,1.0,69.31617970323424,Success
194,Battle Garegga Rev.2016,Shoot 'em up,M2,M2,2016-12-12,2017-01-19,2016-10-06,battle+garegga+rev2016,https://psprices.com/region-us/search/?q=battle+garegga+rev2016&platform=PS4&dlc=hide,True,85.0,0.0,0.0,34.99,Shooter,MedPublishers,MedDevelopers,2016-10-06,2016.0,10.0,6.0,0,0.0,68.06295828460192,Failure
200,Battlezone,Vehicular combat,Rebellion Developments,Rebellion Developments,2016-10-13,2016-10-13,2016-10-13,battlezone,https://psprices.com/region-us/search/?q=battlezone&platform=PS4&dlc=hide,True,78.0,-0.0017495004467718634,-0.016268549172847292,59.99,Action,LowPublishers,HighDevelopers,2016-10-13,2016.0,10.0,13.0,1,0.0,58.27865527869687,Failure
209,Berserk and the Band of the Hawk,"Action role-playing, hack and slash",Omega Force,Koei Tecmo,2016-10-27,2017-02-24,2017-02-21,berserk+and+the+band+of+the+hawk,https://psprices.com/region-us/search/?q=berserk+and+the+band+of+the+hawk&platform=PS4&dlc=hide,True,68.0,-0.0003244728615117607,-0.06034121631950088,59.99,Action,HighPublishers,HighDevelopers,2017-02-21,2017.0,2.0,21.0,0,0.0,52.82387556128339,Failure
211,Beyond: Two Souls,Interactive drama,Quantic Dream,Sony Computer Entertainment,2016-06-01,2015-11-26,2015-11-24,beyond+two+souls,https://psprices.com/region-us/search/?q=beyond+two+souls&platform=PS4&dlc=hide,True,72.0,-0.0026250635565354527,-0.06361714961419321,29.99,Adventure,HighPublishers,MedDevelopers,2015-11-24,2015.0,11.0,24.0,1,0.0,54.89009598379244,Failure
215,The Binding of Isaac: Rebirth,"Action-adventure, roguelike",Nicalis,Nicalis,2015-10-28,2014-11-05,2014-11-04,the+binding+of+isaac+rebirth,https://psprices.com/region-us/search/?q=the+binding+of+isaac+rebirth&platform=PS4&dlc=hide,True,88.0,-0.00018042535924818587,0.0017425892291945033,14.99,Adventure,MedPublishers,MedDevelopers,2014-11-04,2014.0,11.0,4.0,0,0.0,67.87612691400841,Failure
217,BioShock: The Collection,First-person shooter,Blind Squirrel Games,2K Games,2016-09-15,2016-09-16,2016-09-13,bioshock+the+collection,https://psprices.com/region-us/search/?q=bioshock+the+collection&platform=PS4&dlc=hide,True,83.0,-0.00035092980894824285,-0.137497532035988,59.99,Shooter,MedPublishers,LowDevelopers,2016-09-13,2016.0,9.0,13.0,0,0.0,59.23017049812791,Failure
218,Birthdays the Beginning,Strategy,Toybox Games,NIS America,2017-01-19,2017-05-12,2017-05-09,birthdays+the+beginning,https://psprices.com/region-us/search/?q=birthdays+the+beginning&platform=PS4&dlc=hide,True,67.0,-0.00043575696608455137,0.10209147052180825,29.99,Strategy,MedPublishers,LowDevelopers,2017-05-09,2017.0,5.0,9.0,0,0.0,68.69569067808216,Failure
232,Blade Strangers,Fighting,Studio Saizensen,Nicalis,2018-08-30,2018-08-28,2018-08-28,blade+strangers,https://psprices.com/region-us/search/?q=blade+strangers&platform=PS4&dlc=hide,True,72.0,-0.0002436056720696814,-0.09685713755672459,39.99,Action,MedPublishers,MedDevelopers,2018-08-28,2018.0,8.0,28.0,0,0.0,74.5756463585885,Failure
233,Bladestorm: Nightmare,Real-time tactics,Koei Tecmo,Koei Tecmo,2015-01-29,2015-03-20,2015-03-17,bladestorm+nightmare,https://psprices.com/region-us/search/?q=bladestorm+nightmare&platform=PS4&dlc=hide,True,54.0,-0.00029956534547071433,-0.17475593872718917,59.99,Strategy,HighPublishers,HighDevelopers,2015-03-17,2015.0,3.0,17.0,0,1.0,71.11579870670337,Success
235,Blasphemous,Platformer,The Game Kitchen,Team 17,2019-12-19,2019-09-10,2019-09-10,blasphemous,https://psprices.com/region-us/search/?q=blasphemous&platform=PS4&dlc=hide,True,81.0,8.248288948493909e-06,0.0006656637421127987,22.49,Platformer,LowPublishers,LowDevelopers,2019-09-10,2019.0,9.0,10.0,0,0.0,87.28956951148061,Failure
