,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA,TitlesHTML,SearchLinks,HistScrapped,Reviews,LogRegSlope,LogRegIntcpt,InitPrice,MappedGenres,MappedPublishers,MappedDevelopers,ReleaseDate_Agg,Release_Year,Release_Month,Release_Day,Success
0,#killallzombies,Shooter,Beatshapers,Beatshapers,,2014-11-12,2014-10-28,killallzombies,https://psprices.com/region-us/search/?q=killallzombies&platform=PS4&dlc=hide,True,62.0,0.0006129776926936141,-0.47051137660210574,13.99,Shooter,LowPublishers,LowDevelopers,2014-10-28,2014.0,10.0,28.0,0
1,10 Second Ninja X,Platform,Four Circle Interactive,Curve Digital,,2016-07-19,2016-07-19,10+second+ninja+x,https://psprices.com/region-us/search/?q=10+second+ninja+x&platform=PS4&dlc=hide,True,,,,,Platformer,HighPublishers,LowDevelopers,2016-07-19,2016.0,7.0,19.0,1
2,100ft Robot Golf,Sports,No Goblin,No Goblin,,2016-10-10,2016-10-10,100ft+robot+golf,https://psprices.com/region-us/search/?q=100ft+robot+golf&platform=PS4&dlc=hide,True,58.0,-0.0022969435929511375,-0.14985476916040769,19.99,Sports,LowPublishers,MedDevelopers,2016-10-10,2016.0,10.0,10.0,1
3,101 Ways to Die,"Platform, puzzle",Four Door Lemon,Vision Games,,2016-03-22,2016-03-22,101+ways+to+die,https://psprices.com/region-us/search/?q=101+ways+to+die&platform=PS4&dlc=hide,True,65.0,-0.001414451503554606,-0.06443768011763316,14.99,Puzzle,LowPublishers,LowDevelopers,2016-03-22,2016.0,3.0,22.0,1
4,11-11: Memories Retold,Adventure,AardmanDigixArt,Bandai Namco Entertainment,2018-11-09,2018-11-09,2018-11-09,11-11+memories+retold,https://psprices.com/region-us/search/?q=11-11+memories+retold&platform=PS4&dlc=hide,True,77.0,-0.0022154891703057623,0.08365732990105858,29.99,Adventure,HighPublishers,LowDevelopers,2018-11-09,2018.0,11.0,9.0,1
5,13 Sentinels: Aegis Rim,Adventure,Vanillaware,Atlus,2019-11-28,,,13+sentinels+aegis+rim,https://psprices.com/region-us/search/?q=13+sentinels+aegis+rim&platform=PS4&dlc=hide,False,,,,,Adventure,MedPublishers,MedDevelopers,2019-11-28,2019.0,11.0,28.0,1
6,140,Platform,Double Fine Productions,Abstraction Games,,2016-09-01,2016-09-01,140,https://psprices.com/region-us/search/?q=140&platform=PS4&dlc=hide,True,75.0,-0.003228377018889923,-0.01012205426223371,7.99,Platformer,LowPublishers,HighDevelopers,2016-09-01,2016.0,9.0,1.0,1
7,198X,Arcade,Hi-Bit Studios,Reset Media,,2019-06-20,2019-06-16,198x,https://psprices.com/region-us/search/?q=198x&platform=PS4&dlc=hide,True,70.0,0.0,0.0,9.99,Action,LowPublishers,LowDevelopers,2019-06-16,2019.0,6.0,16.0,0
8,1001 Spikes,Platform,8bits Fanatics,Nicalis,2015-11-27,2015-10-07,2014-06-03,1001+spikes,https://psprices.com/region-us/search/?q=1001+spikes&platform=PS4&dlc=hide,True,79.0,0.0,0.0,14.99,Platformer,MedPublishers,LowDevelopers,2014-06-03,2014.0,6.0,3.0,0
9,2064: Read Only Memories,Adventure,MidBoss,MidBoss,2017-01-17,2017-01-17,2017-01-17,2064+read+only+memories,https://psprices.com/region-us/search/?q=2064+read+only+memories&platform=PS4&dlc=hide,True,79.0,-8.351614173901154e-05,-0.2728418824112891,19.99,Adventure,LowPublishers,LowDevelopers,2017-01-17,2017.0,1.0,17.0,0
10,20XX,Actionplatform,Batterystaple Games,Batterystaple Games,2018-07-10,2018-07-10,2018-07-10,20xx,https://psprices.com/region-us/search/?q=20xx&platform=PS4&dlc=hide,True,79.0,-0.0006490823532992725,-0.062488000195491035,17.99,Action,LowPublishers,LowDevelopers,2018-07-10,2018.0,7.0,10.0,0
11,The 25th Ward: The Silver Case,Visual novel,Grasshopper Manufacture,NIS America,2018-03-15,2018-03-13,2018-03-13,the+25th+ward+the+silver+case,https://psprices.com/region-us/search/?q=the+25th+ward+the+silver+case&platform=PS4&dlc=hide,True,66.0,-0.0004923746100182978,-0.03800816286294932,29.99,Adventure,MedPublishers,MedDevelopers,2018-03-13,2018.0,3.0,13.0,0
12,2Dark,"Horror, stealth",Gloomywood,Bigben Interactive,2017-06-29,2017-03-10,2017-03-10,2dark,https://psprices.com/region-us/search/?q=2dark&platform=PS4&dlc=hide,True,75.0,-0.0009214822205595669,-0.024800629888044268,49.99,Horror,HighPublishers,LowDevelopers,2017-03-10,2017.0,3.0,10.0,0
13,428: Shibuya Scramble,Visual novel,Abstraction Games,Spike Chunsoft,2018-09-06,2018-09-21,2018-09-04,428+shibuya+scramble,https://psprices.com/region-us/search/?q=428+shibuya+scramble&platform=PS4&dlc=hide,True,85.0,-0.0001074890869671281,-0.2507049095906858,49.99,Adventure,MedPublishers,MedDevelopers,2018-09-04,2018.0,9.0,4.0,0
14,7 Days to Die,Survival,The Fun Pimps,Telltale Publishing,,2016-07-01,2016-06-28,7+days+to+die,https://psprices.com/region-us/search/?q=7+days+to+die&platform=PS4&dlc=hide,True,38.0,-0.000982845743280255,0.0697880822248337,26.99,Action,LowPublishers,LowDevelopers,2016-06-28,2016.0,6.0,28.0,0
15,8-bit Adventure Anthology: Volume I,Point-and-click adventure,Abstraction Games,Abstraction Games,,2017-10-31,2017-10-31,8-bit+adventure+anthology+volume+i,https://psprices.com/region-us/search/?q=8-bit+adventure+anthology+volume+i&platform=PS4&dlc=hide,True,73.0,0.0,0.0,7.99,Adventure,LowPublishers,MedDevelopers,2017-10-31,2017.0,10.0,31.0,0
16,8-Bit Armies,Real-time strategy,Petroglyph Games,Soedesco,,2018-09-21,2018-09-21,8-bit+armies,https://psprices.com/region-us/search/?q=8-bit+armies&platform=PS4&dlc=hide,False,,,,,Strategy,MedPublishers,MedDevelopers,2018-09-21,2018.0,9.0,21.0,1
17,8-Bit Hordes,Real-time strategy,Petroglyph Games,Soedesco,,2019-02-01,2019-02-01,8-bit+hordes,https://psprices.com/region-us/search/?q=8-bit+hordes&platform=PS4&dlc=hide,False,,,,,Strategy,MedPublishers,MedDevelopers,2019-02-01,2019.0,2.0,1.0,1
18,8-Bit Invaders,Real-time strategy,Petroglyph Games,Soedesco,,2019-02-26,2019-02-26,8-bit+invaders,https://psprices.com/region-us/search/?q=8-bit+invaders&platform=PS4&dlc=hide,False,,,,,Strategy,MedPublishers,MedDevelopers,2019-02-26,2019.0,2.0,26.0,1
19,88 Heroes,Platform,Bitmap Bureau,Rising Star Games,2017-03-24,2017-03-24,2017-03-24,88+heroes,https://psprices.com/region-us/search/?q=88+heroes&platform=PS4&dlc=hide,True,75.0,-0.0005663964643414519,-0.06460825876005243,14.99,Platformer,MedPublishers,MedDevelopers,2017-03-24,2017.0,3.0,24.0,0
20,9 Monkeys of Shaolin,Beat 'em up,Sobaka Studio,Buka Entertainment,,,,9+monkeys+of+shaolin,https://psprices.com/region-us/search/?q=9+monkeys+of+shaolin&platform=PS4&dlc=hide,False,,,,,Action,LowPublishers,MedDevelopers,,,,,1
21,911 Operator,Platform,Jutsu Games,Code Horizon,,2017-11-08,2017-11-08,911+operator,https://psprices.com/region-us/search/?q=911+operator&platform=PS4&dlc=hide,True,,,,,Platformer,LowPublishers,LowDevelopers,2017-11-08,2017.0,11.0,8.0,1
22,99Vidas,Beat 'em up,QuByte Interactive,QuByte Interactive,,2017-12-08,2017-07-18,99vidas,https://psprices.com/region-us/search/?q=99vidas&platform=PS4&dlc=hide,True,68.0,0.0,0.0,9.99,Action,LowPublishers,LowDevelopers,2017-07-18,2017.0,7.0,18.0,0
23,A-Train Express,Simulation,Artdink,Degica Games,2017-12-21,2019-05-22,2019-06-07,a-train+express,https://psprices.com/region-us/search/?q=a-train+express&platform=PS4&dlc=hide,True,,,,,Simulation,LowPublishers,MedDevelopers,2019-06-07,2019.0,6.0,7.0,1
24,Aaero,Shooter,Mad Fellows Games,Reverb Triple XP,2018-01-10,2017-04-11,2017-04-11,aaero,https://psprices.com/region-us/search/?q=aaero&platform=PS4&dlc=hide,True,67.0,-0.0005493930591670786,-0.10805009084267488,14.99,Shooter,LowPublishers,LowDevelopers,2017-04-11,2017.0,4.0,11.0,0
25,Aaru's Awakening,Platform,Lumenox Games,Lumenox Games,2015-08-05,2015-04-08,2015-04-07,aarus+awakening,https://psprices.com/region-us/search/?q=aarus+awakening&platform=PS4&dlc=hide,True,,,,,Platformer,LowPublishers,LowDevelopers,2015-04-07,2015.0,4.0,7.0,1
26,A Boy and His Blob,"Platform, puzzle",Abstraction Games,Majesco Entertainment,,2016-01-19,2016-01-19,a+boy+and+his+blob,https://psprices.com/region-us/search/?q=a+boy+and+his+blob&platform=PS4&dlc=hide,True,60.0,-0.0013214468093795749,0.06110477266049863,8.49,Puzzle,LowPublishers,MedDevelopers,2016-01-19,2016.0,1.0,19.0,1
27,Absolute Drift: Zen Edition,Racing,Funselektor Labs,Flippfly,,2016-08-16,2016-08-23,absolute+drift+zen+edition,https://psprices.com/region-us/search/?q=absolute+drift+zen+edition&platform=PS4&dlc=hide,True,80.0,-0.0012703078592411522,-0.020875122782434433,11.99,Sports,LowPublishers,LowDevelopers,2016-08-23,2016.0,8.0,23.0,1
28,Absolver,Action role-playing,Sloclap,Devolver Digital,2019-08-22,2017-08-29,2017-08-29,absolver,https://psprices.com/region-us/search/?q=absolver&platform=PS4&dlc=hide,True,73.0,-0.0004283984628287229,0.038667477515416646,26.99,Action,HighPublishers,LowDevelopers,2017-08-29,2017.0,8.0,29.0,0
29,Abyss: The Wraiths of Eden,Hidden object,Artifex Mundi,Artifex Mundi,,2017-10-20,2017-10-20,abyss+the+wraiths+of+eden,https://psprices.com/region-us/search/?q=abyss+the+wraiths+of+eden&platform=PS4&dlc=hide,True,70.0,0.0002005192153394156,0.09891867343814613,9.99,Platformer,HighPublishers,HighDevelopers,2017-10-20,2017.0,10.0,20.0,0
30,Abzû,"Adventure, art",Giant Squid,505 Games,2016-08-02,2016-08-02,2016-08-02,abzû,https://psprices.com/region-us/search/?q=abzû&platform=PS4&dlc=hide,True,,,,,Adventure,HighPublishers,MedDevelopers,2016-08-02,2016.0,8.0,2.0,1
31,Accel World vs. Sword Art Online: Millennium Twilight,Action role-playing,Artdink,Bandai Namco Entertainment,2017-03-16,2017-07-07,2017-07-07,accel+world+vs+sword+art+online+millennium+twilight,https://psprices.com/region-us/search/?q=accel+world+vs+sword+art+online+millennium+twilight&platform=PS4&dlc=hide,False,,,,,Action,HighPublishers,MedDevelopers,2017-07-07,2017.0,7.0,7.0,1
32,Ace Combat 7: Skies Unknown,Flight simulator,Project Aces,Bandai Namco Entertainment,2019-01-18,2019-01-18,2019-01-18,ace+combat+7+skies+unknown,https://psprices.com/region-us/search/?q=ace+combat+7+skies+unknown&platform=PS4&dlc=hide,True,,,,,Simulation,HighPublishers,LowDevelopers,2019-01-18,2019.0,1.0,18.0,1
33,A Certain Magical Virtual-On,Action,Sega,Sega,2018-02-15,,,a+certain+magical+virtual-on,https://psprices.com/region-us/search/?q=a+certain+magical+virtual-on&platform=PS4&dlc=hide,False,,,,,Action,HighPublishers,HighDevelopers,2018-02-15,2018.0,2.0,15.0,1
34,Achtung! Cthulhu Tactics,Tactical role-playing,Auroch Digital,Ripstone,,2018-11-21,2018-11-20,achtung+cthulhu+tactics,https://psprices.com/region-us/search/?q=achtung+cthulhu+tactics&platform=PS4&dlc=hide,True,,,,,Action,MedPublishers,LowDevelopers,2018-11-20,2018.0,11.0,20.0,1
35,Act It Out! A Game of Charades,Party,Snap Finger Click,Snap Finger Click,,2016-01-12,2016-01-05,act+it+out+a+game+of+charades,https://psprices.com/region-us/search/?q=act+it+out+a+game+of+charades&platform=PS4&dlc=hide,True,60.0,-0.0029867375355887064,-0.045501313977688716,14.99,Puzzle,LowPublishers,MedDevelopers,2016-01-05,2016.0,1.0,5.0,1
36,Action Henk,Platform,RageSquid,Curve Digital,2016-03-09,2016-03-08,2016-03-08,action+henk,https://psprices.com/region-us/search/?q=action+henk&platform=PS4&dlc=hide,True,69.0,-0.0012096154578868292,-0.11716999886995969,14.99,Platformer,HighPublishers,LowDevelopers,2016-03-08,2016.0,3.0,8.0,1
37,Adios Amigos,Action-adventure,Cosmic Picnic,Cosmic Picnic,,,,adios+amigos,https://psprices.com/region-us/search/?q=adios+amigos&platform=PS4&dlc=hide,False,,,,,Adventure,LowPublishers,MedDevelopers,,,,,1
38,Adrift,First-person,Three One Zero,505 Games,,2016-07-15,2016-07-15,adrift,https://psprices.com/region-us/search/?q=adrift&platform=PS4&dlc=hide,True,62.0,0.000574833532138347,-0.6311444388132781,19.99,Shooter,HighPublishers,LowDevelopers,2016-07-15,2016.0,7.0,15.0,0
39,The Adventure Pals,"Adventure, role-playing",Massive Monster,Armor Games,,2018-04-03,2018-04-03,the+adventure+pals,https://psprices.com/region-us/search/?q=the+adventure+pals&platform=PS4&dlc=hide,True,78.0,-0.0002715427783284786,-0.03253688394206414,14.99,RPG,LowPublishers,LowDevelopers,2018-04-03,2018.0,4.0,3.0,0
40,Adventures of Pip,Platform,Tic Toc Games,Tic Toc Games,,2016-02-09,2015-08-18,adventures+of+pip,https://psprices.com/region-us/search/?q=adventures+of+pip&platform=PS4&dlc=hide,True,74.0,-0.00039858496519422316,-0.21656897356014032,14.99,Platformer,LowPublishers,LowDevelopers,2015-08-18,2015.0,8.0,18.0,0
41,Adventures of Scarlet Curiosity,Action role-playing,Ankake Supa,Mediascape,2016-09-27,,,adventures+of+scarlet+curiosity,https://psprices.com/region-us/search/?q=adventures+of+scarlet+curiosity&platform=PS4&dlc=hide,False,,,,,Action,MedPublishers,LowDevelopers,2016-09-27,2016.0,9.0,27.0,1
42,Adventure Time: Finn & Jake Investigations,Action-adventure,Vicious Cycle Software,Little Orbit,,2015-11-06,2015-10-20,adventure+time+finn+jake+investigations,https://psprices.com/region-us/search/?q=adventure+time+finn+jake+investigations&platform=PS4&dlc=hide,False,,,,,Adventure,LowPublishers,LowDevelopers,2015-10-20,2015.0,10.0,20.0,1
43,Aegis Defenders,"Action, strategy",Guts Department,Guts Department,2018-02-08,2018-02-08,2018-02-08,aegis+defenders,https://psprices.com/region-us/search/?q=aegis+defenders&platform=PS4&dlc=hide,True,77.0,-8.591369082165256e-05,-0.15871502940239868,19.99,Action,LowPublishers,LowDevelopers,2018-02-08,2018.0,2.0,8.0,0
44,Aegis of Earth: Protonovus Assault,Tower defense,Acquire,Aksys Games,2016-08-01,2016-04-22,2016-03-15,aegis+of+earth+protonovus+assault,https://psprices.com/region-us/search/?q=aegis+of+earth+protonovus+assault&platform=PS4&dlc=hide,True,58.0,-0.0006451066125030446,-0.10458186724894841,39.99,Strategy,MedPublishers,HighDevelopers,2016-03-15,2016.0,3.0,15.0,0
45,AER: Memories of Old,Adventure,Forgotten Key,Daedalic Entertainment,2017-10-25,2017-10-25,2017-10-25,aer+memories+of+old,https://psprices.com/region-us/search/?q=aer+memories+of+old&platform=PS4&dlc=hide,True,67.0,-0.0005493930591670786,-0.10805009084267488,14.99,Adventure,MedPublishers,LowDevelopers,2017-10-25,2017.0,10.0,25.0,0
46,AeternoBlade,Action-adventure,Corecell Technology,PQube,2016-04-26,2015-08-05,2015-08-04,aeternoblade,https://psprices.com/region-us/search/?q=aeternoblade&platform=PS4&dlc=hide,True,,,,,Adventure,MedPublishers,MedDevelopers,2015-08-04,2015.0,8.0,4.0,1
47,AeternoBlade II,Action-adventure,Corecell Technology,PQube,,2019-10-11,2019-10-11,aeternoblade+ii,https://psprices.com/region-us/search/?q=aeternoblade+ii&platform=PS4&dlc=hide,True,,,,,Adventure,MedPublishers,MedDevelopers,2019-10-11,2019.0,10.0,11.0,1
48,AFL Evolution,Sports,Wicked Witch Software,Tru Blu Entertainment,,2017-05-05,2017-05-05,afl+evolution,https://psprices.com/region-us/search/?q=afl+evolution&platform=PS4&dlc=hide,True,,,,,Sports,LowPublishers,MedDevelopers,2017-05-05,2017.0,5.0,5.0,1
49,Afterparty,Adventure,Night School Studio,Night School Studio,,2019-10-29,2019-10-29,afterparty,https://psprices.com/region-us/search/?q=afterparty&platform=PS4&dlc=hide,True,,,,,Adventure,LowPublishers,LowDevelopers,2019-10-29,2019.0,10.0,29.0,1
50,Agatha Christie: The ABC Murders,Point-and-click adventure,Artefacts Studio,Microïds,2017-04-28,2016-02-04,2016-02-23,agatha+christie+the+abc+murders,https://psprices.com/region-us/search/?q=agatha+christie+the+abc+murders&platform=PS4&dlc=hide,True,66.0,-0.0013354964934661298,-0.29380933426128425,39.99,Adventure,MedPublishers,MedDevelopers,2016-02-23,2016.0,2.0,23.0,1
51,Agent A: A Puzzle in Disguise,Adventurepuzzle,Yak,Yak,,2019-08-29,2019-08-29,agent+a+a+puzzle+in+disguise,https://psprices.com/region-us/search/?q=agent+a+a+puzzle+in+disguise&platform=PS4&dlc=hide,True,79.0,0.00020194679255838472,-0.08606190569318764,14.99,Puzzle,LowPublishers,LowDevelopers,2019-08-29,2019.0,8.0,29.0,0
52,Agents of Mayhem,"Action, third-person",Volition,Deep Silver,2017-12-07,2017-08-18,2017-08-15,agents+of+mayhem,https://psprices.com/region-us/search/?q=agents+of+mayhem&platform=PS4&dlc=hide,True,67.0,-0.0033236899164035562,-0.28029864934020576,59.99,Action,MedPublishers,MedDevelopers,2017-08-15,2017.0,8.0,15.0,1
53,Age of Wonders: Planetfall,4Xturn-based strategy,Triumph Studios,Paradox Interactive,,2019-08-06,2019-08-06,age+of+wonders+planetfall,https://psprices.com/region-us/search/?q=age+of+wonders+planetfall&platform=PS4&dlc=hide,True,86.0,-0.0017490809554845535,0.10025053390917378,49.99,Strategy,MedPublishers,LowDevelopers,2019-08-06,2019.0,8.0,6.0,1
54,Agony,Survival horror,Madmind Studio,PlayWay,,2018-05-29,2018-05-29,agony,https://psprices.com/region-us/search/?q=agony&platform=PS4&dlc=hide,True,39.0,-0.0011528174914533533,-0.053565620507526814,39.99,Horror,LowPublishers,LowDevelopers,2018-05-29,2018.0,5.0,29.0,1
55,A Hat in Time,Platform,Gears for Breakfast,Gears for Breakfast,,2017-12-06,2017-12-06,a+hat+in+time,https://psprices.com/region-us/search/?q=a+hat+in+time&platform=PS4&dlc=hide,True,77.0,-0.00037107858463543436,-0.014131527948280327,29.99,Platformer,LowPublishers,LowDevelopers,2017-12-06,2017.0,12.0,6.0,0
56,A Healer Only Lives Twice,Dungeon crawl,Pon Pon Games,Platine Dispositif,,2017-07-25,2017-07-25,a+healer+only+lives+twice,https://psprices.com/region-us/search/?q=a+healer+only+lives+twice&platform=PS4&dlc=hide,True,,,,,RPG,LowPublishers,LowDevelopers,2017-07-25,2017.0,7.0,25.0,1
57,AI-Limit,Unknown,Sense Games,Palm Pioneer,,,,ai-limit,https://psprices.com/region-us/search/?q=ai-limit&platform=PS4&dlc=hide,False,,,,,Action,LowPublishers,LowDevelopers,,,,,1
58,AI: The Somnium Files,Adventure,Spike Chunsoft,Spike Chunsoft,2019-09-19,2019-09-20,2019-09-17,ai+the+somnium+files,https://psprices.com/region-us/search/?q=ai+the+somnium+files&platform=PS4&dlc=hide,True,,,,,Adventure,MedPublishers,HighDevelopers,2019-09-17,2019.0,9.0,17.0,1
59,AIPD,Shoot 'em up,Blazing Badger,Blazing Badger,,2016-01-29,2016-01-29,aipd,https://psprices.com/region-us/search/?q=aipd&platform=PS4&dlc=hide,True,,,,,Shooter,LowPublishers,LowDevelopers,2016-01-29,2016.0,1.0,29.0,1
60,Air Conflicts: Pacific Carriers,Flight simulator,Games Farm,Kalypso Media,,2015-11-06,2015-11-03,air+conflicts+pacific+carriers,https://psprices.com/region-us/search/?q=air+conflicts+pacific+carriers&platform=PS4&dlc=hide,True,60.0,-0.0033036420486402774,0.13314381498542754,39.99,Simulation,MedPublishers,MedDevelopers,2015-11-03,2015.0,11.0,3.0,1
61,Air Conflicts: Vietnam,Flight simulator,Games Farm,bitComposer Interactive,,2014-06-27,2014-09-16,air+conflicts+vietnam,https://psprices.com/region-us/search/?q=air+conflicts+vietnam&platform=PS4&dlc=hide,True,,,,,Simulation,LowPublishers,MedDevelopers,2014-09-16,2014.0,9.0,16.0,1
62,Airport Simulator 2019,Simulation,Toplitz Productions,UIG Entertainment,,2018-08-15,2019-04-09,airport+simulator+2019,https://psprices.com/region-us/search/?q=airport+simulator+2019&platform=PS4&dlc=hide,True,,,,,Simulation,LowPublishers,LowDevelopers,2019-04-09,2019.0,4.0,9.0,1
63,Airship Q,Action role-playing,Miracle Positive,Miracle Positive,2015-11-19,,,airship+q,https://psprices.com/region-us/search/?q=airship+q&platform=PS4&dlc=hide,False,,,,,Action,LowPublishers,LowDevelopers,2015-11-19,2015.0,11.0,19.0,1
64,Akiba's Beat,Action role-playing,Acquire,Marvelous USA,2016-12-15,2017-03-19,2017-05-02,akibas+beat,https://psprices.com/region-us/search/?q=akibas+beat&platform=PS4&dlc=hide,True,58.0,-0.0012063334954870676,-0.13315753224987392,49.99,Action,LowPublishers,HighDevelopers,2017-05-02,2017.0,5.0,2.0,1
65,Akiba's Trip: Undead & Undressed,Action role-playing,Acquire,Marvelous USA,2014-07-03,2015-02-13,2014-11-25,akibas+trip+undead+undressed,https://psprices.com/region-us/search/?q=akibas+trip+undead+undressed&platform=PS4&dlc=hide,True,62.0,-0.0012469334793030907,-0.09583590157657476,49.99,Action,LowPublishers,HighDevelopers,2014-11-25,2014.0,11.0,25.0,1
66,Alaloth: Champions of The Four Kingdoms,Action role-playing,Gamera,Gamera,,,,alaloth+champions+of+the+four+kingdoms,https://psprices.com/region-us/search/?q=alaloth+champions+of+the+four+kingdoms&platform=PS4&dlc=hide,False,,,,,Action,LowPublishers,LowDevelopers,,,,,1
67,Alekhine's Gun,"Action, stealth",Haggard Games,Maximum Games,2015-11-10,2016-03-11,2015-11-01,alekhines+gun,https://psprices.com/region-us/search/?q=alekhines+gun&platform=PS4&dlc=hide,True,32.0,-0.0025784846097610956,-0.014858635954033661,49.99,Action,MedPublishers,LowDevelopers,2015-11-01,2015.0,11.0,1.0,1
68,Alienation,Shoot 'em up,Housemarque,Sony Interactive Entertainment,2016-06-02,2016-04-26,2016-04-26,alienation,https://psprices.com/region-us/search/?q=alienation&platform=PS4&dlc=hide,True,78.0,-0.0005871828095028827,0.05354907028473331,17.99,Shooter,HighPublishers,HighDevelopers,2016-04-26,2016.0,4.0,26.0,0
69,Alien: Isolation,Survival horror,Creative Assembly,Sega,2015-06-11,2014-10-07,2014-10-07,alien+isolation,https://psprices.com/region-us/search/?q=alien+isolation&platform=PS4&dlc=hide,True,80.0,-0.0012738881259341198,-0.0743236722029557,59.99,Horror,HighPublishers,LowDevelopers,2014-10-07,2014.0,10.0,7.0,1
70,The Alliance Alive HD Remastered,Role-playing,Cattle Call,JP: FuRyuWW: NIS America,2019-10-10,2019-10-11,2019-10-08,the+alliance+alive+hd+remastered,https://psprices.com/region-us/search/?q=the+alliance+alive+hd+remastered&platform=PS4&dlc=hide,True,,,,,RPG,LowPublishers,LowDevelopers,2019-10-08,2019.0,10.0,8.0,1
71,Alone with You,Adventure,Benjamin Rivers,Benjamin Rivers,,2016-08-23,2016-08-23,alone+with+you,https://psprices.com/region-us/search/?q=alone+with+you&platform=PS4&dlc=hide,True,73.0,-0.001439591807902859,-0.001096748638195368,9.99,Adventure,LowPublishers,MedDevelopers,2016-08-23,2016.0,8.0,23.0,1
72,Alwa's Awakening,Platformer,Elden Pixels,Elden Pixels,,2019-03-21,2019-03-21,alwas+awakening,https://psprices.com/region-us/search/?q=alwas+awakening&platform=PS4&dlc=hide,True,73.0,0.0,0.0,9.99,Platformer,LowPublishers,LowDevelopers,2019-03-21,2019.0,3.0,21.0,0
73,Always Sometimes Monsters,Role-playing,Vagabond Dog,Devolver Digital,,2017-10-10,2017-10-10,always+sometimes+monsters,https://psprices.com/region-us/search/?q=always+sometimes+monsters&platform=PS4&dlc=hide,True,73.0,-0.0010427611737203726,-0.12170128986386322,9.99,RPG,HighPublishers,LowDevelopers,2017-10-10,2017.0,10.0,10.0,1
74,Amazing Discoveries in Outer Space,Platform,Cosmic Picnic,Cosmic Picnic,,2016-02-03,2016-02-02,amazing+discoveries+in+outer+space,https://psprices.com/region-us/search/?q=amazing+discoveries+in+outer+space&platform=PS4&dlc=hide,True,68.0,-0.0016489803272240347,0.009580999103539878,11.99,Platformer,LowPublishers,MedDevelopers,2016-02-02,2016.0,2.0,2.0,1
75,The Amazing Spider-Man 2,Action-adventure,Beenox,Activision,2014-09-04,2014-05-02,2014-04-29,the+amazing+spider-man+2,https://psprices.com/region-us/search/?q=the+amazing+spider-man+2&platform=PS4&dlc=hide,False,,,,,Adventure,HighPublishers,MedDevelopers,2014-04-29,2014.0,4.0,29.0,1
76,American Fugitive,"Action, sandbox",Curve Digital,Fallen Tree Games,,2019-05-21,2019-05-21,american+fugitive,https://psprices.com/region-us/search/?q=american+fugitive&platform=PS4&dlc=hide,True,65.0,-0.0009617034256574318,-0.08167834148147776,19.99,Action,LowPublishers,MedDevelopers,2019-05-21,2019.0,5.0,21.0,0
77,Amnesia: Collection,Survival horror,Frictional Games,Frictional Games,,2016-11-22,2016-11-22,amnesia+collection,https://psprices.com/region-us/search/?q=amnesia+collection&platform=PS4&dlc=hide,True,77.0,-0.0009666729427053939,0.04590664098002961,29.99,Horror,LowPublishers,MedDevelopers,2016-11-22,2016.0,11.0,22.0,0
78,Among the Sleep,Survival horror,Krillbite Studio,Krillbite Studio,,2015-12-10,2015-12-10,among+the+sleep,https://psprices.com/region-us/search/?q=among+the+sleep&platform=PS4&dlc=hide,True,65.0,-0.0008563077474635329,-0.04777830497365303,14.99,Horror,LowPublishers,LowDevelopers,2015-12-10,2015.0,12.0,10.0,0
79,Amplitude,"Music, rhythm",Harmonix,Harmonix,,2016-01-05,2016-01-05,amplitude,https://psprices.com/region-us/search/?q=amplitude&platform=PS4&dlc=hide,True,71.0,-0.0008684935229027878,-0.029558239644204197,19.99,Platformer,LowPublishers,MedDevelopers,2016-01-05,2016.0,1.0,5.0,0
80,Anarcute,Action,AnarTeam,AnarTeam,2018-02-20,,,anarcute,https://psprices.com/region-us/search/?q=anarcute&platform=PS4&dlc=hide,False,,,,,Action,LowPublishers,LowDevelopers,2018-02-20,2018.0,2.0,20.0,1
81,Ancestors Legacy,Real-time strategy,Destructive Creations,JP: DMM GamesWW: Destructive Creations,2019-12-19,2019-08-13,2019-08-13,ancestors+legacy,https://psprices.com/region-us/search/?q=ancestors+legacy&platform=PS4&dlc=hide,True,,,,,Strategy,LowPublishers,LowDevelopers,2019-08-13,2019.0,8.0,13.0,1
82,Ancestors: The Humankind Odyssey,Survival,Panache Digital Games,Private Division,2019-12-06,2019-12-06,2019-12-06,ancestors+the+humankind+odyssey,https://psprices.com/region-us/search/?q=ancestors+the+humankind+odyssey&platform=PS4&dlc=hide,True,,,,,Action,MedPublishers,LowDevelopers,2019-12-06,2019.0,12.0,6.0,1
83,Anew: The Distant Light,"Action, puzzle",Resonator,Resonator,,,,anew+the+distant+light,https://psprices.com/region-us/search/?q=anew+the+distant+light&platform=PS4&dlc=hide,False,,,,,Puzzle,LowPublishers,LowDevelopers,,,,,1
84,AngerForce: Reloaded,Shoot 'em up,Screambox Studio,Zodiac Interactive,2019-08-08,2019-04-02,2019-04-02,angerforce+reloaded,https://psprices.com/region-us/search/?q=angerforce+reloaded&platform=PS4&dlc=hide,True,90.0,-0.00014478690546801024,-0.10650100198603671,9.99,Shooter,LowPublishers,LowDevelopers,2019-04-02,2019.0,4.0,2.0,0
