,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA,TitlesHTML,SearchLinks,HistScrapped,Reviews,LogRegSlope,LogRegIntcpt,InitPrice,MappedGenres,MappedPublishers,MappedDevelopers,ReleaseDate_Agg,Release_Year,Release_Month,Release_Day,Success
1760,Shenmue I & II,Action,Sega,Sega,2018-11-22,2018-08-21,2018-08-21,shenmue+i+ii,https://psprices.com/region-us/search/?q=shenmue+i+ii&platform=PS4&dlc=hide,False,,,,,Action,HighPublishers,HighDevelopers,2018-08-21,2018.0,8.0,21.0,1
1761,Shenmue III,Action,Ys Net,Deep Silver,2019-11-19,2019-11-19,2019-11-19,shenmue+iii,https://psprices.com/region-us/search/?q=shenmue+iii&platform=PS4&dlc=hide,True,,,,,Action,MedPublishers,LowDevelopers,2019-11-19,2019.0,11.0,19.0,1
1762,Sherlock Holmes: Crimes & Punishments,Adventure,Frogwares,Focus Home Interactive,,2014-10-03,2014-09-30,sherlock+holmes+crimes+punishments,https://psprices.com/region-us/search/?q=sherlock+holmes+crimes+punishments&platform=PS4&dlc=hide,True,,,,,Adventure,HighPublishers,MedDevelopers,2014-09-30,2014.0,9.0,30.0,1
1763,Sherlock Holmes: The Devil's Daughter,Adventure,Frogwares,Focus Home Interactive,2016-10-25,2016-10-25,2016-10-25,sherlock+holmes+the+devils+daughter,https://psprices.com/region-us/search/?q=sherlock+holmes+the+devils+daughter&platform=PS4&dlc=hide,True,64.0,-0.0005625278843031274,-0.12184641773069717,49.99,Adventure,HighPublishers,MedDevelopers,2016-10-25,2016.0,10.0,25.0,0
1764,Shift Happens,Platformerpuzzle,Klonk Games,Klonk Games,2017-03-07,2017-03-07,2017-03-07,shift+happens,https://psprices.com/region-us/search/?q=shift+happens&platform=PS4&dlc=hide,False,,,,,Puzzle,LowPublishers,LowDevelopers,2017-03-07,2017.0,3.0,7.0,1
1765,Shiftlings,Platformer,Rock Pocket Games,Rock Pocket Games,,2015-03-11,2015-03-03,shiftlings,https://psprices.com/region-us/search/?q=shiftlings&platform=PS4&dlc=hide,True,65.0,-0.00045335883089080874,-0.22529467858790014,14.99,Platformer,LowPublishers,MedDevelopers,2015-03-03,2015.0,3.0,3.0,0
1766,Shiness: The Lightning Kingdom,Action role-playing,Enigami,Focus Home Interactive,,2017-04-18,2017-04-18,shiness+the+lightning+kingdom,https://psprices.com/region-us/search/?q=shiness+the+lightning+kingdom&platform=PS4&dlc=hide,True,67.0,-0.001066129997226339,-0.08622197347982506,29.99,Action,HighPublishers,LowDevelopers,2017-04-18,2017.0,4.0,18.0,1
1767,Shining Resonance Refrain,Role-playing,Sega,Sega,2018-03-29,2018-07-10,2018-07-10,shining+resonance+refrain,https://psprices.com/region-us/search/?q=shining+resonance+refrain&platform=PS4&dlc=hide,True,,,,,RPG,HighPublishers,HighDevelopers,2018-07-10,2018.0,7.0,10.0,1
1768,Shoppe Keep,"Action role-playing, Simulation",Arvydas Zemaitis,Excalibur,,2017-09-19,2017-09-19,shoppe+keep,https://psprices.com/region-us/search/?q=shoppe+keep&platform=PS4&dlc=hide,True,,,,,Action,LowPublishers,LowDevelopers,2017-09-19,2017.0,9.0,19.0,1
1769,Shovel Knight,Actionplatform,Yacht Club Games,Yacht Club Games,2015-04-21,2015-04-21,2015-04-21,shovel+knight,https://psprices.com/region-us/search/?q=shovel+knight&platform=PS4&dlc=hide,False,,,,,Action,LowPublishers,LowDevelopers,2015-04-21,2015.0,4.0,21.0,1
1770,Shovel Knight Dig,Actionplatform,NitromeYacht Club Games,Yacht Club Games,,,,shovel+knight+dig,https://psprices.com/region-us/search/?q=shovel+knight+dig&platform=PS4&dlc=hide,False,,,,,Action,LowPublishers,LowDevelopers,,,,,1
1771,Shu,Platformer,Coatsink Software,Coatsink Software,2017-06-15,2016-10-04,2016-10-04,shu,https://psprices.com/region-us/search/?q=shu&platform=PS4&dlc=hide,True,77.0,-0.00038337894197260644,-1.8339547328568342e-17,11.99,Platformer,LowPublishers,LowDevelopers,2016-10-04,2016.0,10.0,4.0,0
1772,Siegecraft Commander,"Strategy, tower defense",Blowfish Studios,Blowfish Studios,,2017-01-17,2017-01-17,siegecraft+commander,https://psprices.com/region-us/search/?q=siegecraft+commander&platform=PS4&dlc=hide,True,59.0,-0.004357160199453559,0.022815862510140835,19.99,Strategy,LowPublishers,MedDevelopers,2017-01-17,2017.0,1.0,17.0,1
1773,Silence: The Whispered World II,Point-and-click adventure,Daedalic Entertainment,Daedalic Entertainment,2018-06-21,2016-11-15,2016-11-15,silence+the+whispered+world+ii,https://psprices.com/region-us/search/?q=silence+the+whispered+world+ii&platform=PS4&dlc=hide,False,,,,,Adventure,MedPublishers,HighDevelopers,2016-11-15,2016.0,11.0,15.0,1
1774,The Silver Case,Visual novel,Grasshopper Manufacture / Active Gaming Media,NIS America,2018-03-15,2017-04-21,2017-04-18,the+silver+case,https://psprices.com/region-us/search/?q=the+silver+case&platform=PS4&dlc=hide,True,70.0,-0.000956429733899073,-0.2134814610087118,29.99,Adventure,MedPublishers,LowDevelopers,2017-04-18,2017.0,4.0,18.0,0
1775,The Sims 4,Simulation,Maxis,Electronic Arts,2017-11-17,2017-11-17,2017-11-17,the+sims+4,https://psprices.com/region-us/search/?q=the+sims+4&platform=PS4&dlc=hide,True,69.0,-0.0012517039306134943,0.14622204354036847,49.99,Simulation,HighPublishers,LowDevelopers,2017-11-17,2017.0,11.0,17.0,1
1776,Simulacra,Full motion video,Kaigan Games,Wales Interactive,,2019-12-03,2019-12-03,simulacra,https://psprices.com/region-us/search/?q=simulacra&platform=PS4&dlc=hide,True,,,,,Adventure,MedPublishers,LowDevelopers,2019-12-03,2019.0,12.0,3.0,1
1777,Sine Mora EX,Shoot 'em up,Digital Reality,THQ Nordic,,2017-08-08,2017-08-08,sine+mora+ex,https://psprices.com/region-us/search/?q=sine+mora+ex&platform=PS4&dlc=hide,True,77.0,-0.0014796084021011379,-0.006134259858225272,19.99,Shooter,MedPublishers,LowDevelopers,2017-08-08,2017.0,8.0,8.0,1
1778,SingStar Celebration,"Music & rhythm, party",SIE London Studio,Sony Interactive Entertainment,,2017-11-22,2017-10-24,singstar+celebration,https://psprices.com/region-us/search/?q=singstar+celebration&platform=PS4&dlc=hide,False,,,,,Puzzle,HighPublishers,LowDevelopers,2017-10-24,2017.0,10.0,24.0,1
1779,The Sinking City,Action-adventuresurvival horror,Frogwares,Bigben Interactive,2019-06-27,2019-06-27,2019-06-27,the+sinking+city,https://psprices.com/region-us/search/?q=the+sinking+city&platform=PS4&dlc=hide,True,70.0,-0.0006776624756266356,-0.09246177017880541,59.99,Horror,HighPublishers,MedDevelopers,2019-06-27,2019.0,6.0,27.0,0
1780,Sinner: Sacrifice for Redemption,Role-playing,Dark Star,Another Indie,2018-04-25,2018-04-25,2018-04-25,sinner+sacrifice+for+redemption,https://psprices.com/region-us/search/?q=sinner+sacrifice+for+redemption&platform=PS4&dlc=hide,True,62.0,-0.0002776658532171646,-0.05610679585885222,18.99,RPG,MedPublishers,LowDevelopers,2018-04-25,2018.0,4.0,25.0,0
1781,Siralim,"Turn-based, role-playing",Thylacine Studios,Thylacine Studios,,2016-03-02,2016-02-09,siralim,https://psprices.com/region-us/search/?q=siralim&platform=PS4&dlc=hide,True,75.0,-0.0005463132127878251,-0.22848978174056478,9.99,Strategy,LowPublishers,MedDevelopers,2016-02-09,2016.0,2.0,9.0,0
1782,Siralim 2,"Turn-based, role-playing",Thylacine Studios,Thylacine Studios,,2017-03-14,2017-03-14,siralim+2,https://psprices.com/region-us/search/?q=siralim+2&platform=PS4&dlc=hide,True,,,,,Strategy,LowPublishers,MedDevelopers,2017-03-14,2017.0,3.0,14.0,1
1783,Siralim 3,"Turn-based, role-playing",Thylacine Studios,Thylacine Studios,,,2019-03-29,siralim+3,https://psprices.com/region-us/search/?q=siralim+3&platform=PS4&dlc=hide,True,,,,,Strategy,LowPublishers,MedDevelopers,2019-03-29,2019.0,3.0,29.0,1
1784,Sisters Royale: I'm Being Harassed by 5 Sisters and It Sucks,Shoot 'em up,Alfa System,Chorus Worldwide,2020-01-30,2020-01-30,2020-01-30,sisters+royale+im+being+harassed+by+5+sisters+and+it+sucks,https://psprices.com/region-us/search/?q=sisters+royale+im+being+harassed+by+5+sisters+and+it+sucks&platform=PS4&dlc=hide,False,,,,,Shooter,LowPublishers,LowDevelopers,2020-01-30,2020.0,1.0,30.0,1
1785,Skull & Bones,"Action, adventure",Ubisoft Singapore,Ubisoft,,,,skull+bones,https://psprices.com/region-us/search/?q=skull+bones&platform=PS4&dlc=hide,False,,,,,Action,HighPublishers,LowDevelopers,,,,,1
1786,Skullgirls: 2nd Encore,Fighting,Lab Zero Games,Autumn Games,2016-04-14,2015-07-23,2015-07-07,skullgirls+2nd+encore,https://psprices.com/region-us/search/?q=skullgirls+2nd+encore&platform=PS4&dlc=hide,True,80.0,-0.0004563840186863786,0.03436574637773134,24.99,Action,LowPublishers,MedDevelopers,2015-07-07,2015.0,7.0,7.0,0
1787,Skulls of the Shogun: Bone-A-Fide Edition,Turn-based strategy,17-Bit,17-Bit,2016-04-06,2015-06-03,2015-06-02,skulls+of+the+shogun+bone-a-fide+edition,https://psprices.com/region-us/search/?q=skulls+of+the+shogun+bone-a-fide+edition&platform=PS4&dlc=hide,False,,,,,Strategy,LowPublishers,MedDevelopers,2015-06-02,2015.0,6.0,2.0,1
1788,Sky Force Anniversary,Shoot 'em up,Infinite Dreams,Infinite Dreams,,2016-09-07,2016-09-06,sky+force+anniversary,https://psprices.com/region-us/search/?q=sky+force+anniversary&platform=PS4&dlc=hide,True,,,,,Shooter,LowPublishers,MedDevelopers,2016-09-06,2016.0,9.0,6.0,1
1789,Sky Force Reloaded,Shoot 'em up,Infinite Dreams,Infinite Dreams,,2017-12-01,2017-12-01,sky+force+reloaded,https://psprices.com/region-us/search/?q=sky+force+reloaded&platform=PS4&dlc=hide,True,74.0,-0.00017750578343360347,0.04948806717117338,8.99,Shooter,LowPublishers,MedDevelopers,2017-12-01,2017.0,12.0,1.0,0
1790,Skylanders: Imaginators,Platformer,Toys For Bob,Activision,,2016-10-14,2016-06-17,skylanders+imaginators,https://psprices.com/region-us/search/?q=skylanders+imaginators&platform=PS4&dlc=hide,False,,,,,Platformer,HighPublishers,MedDevelopers,2016-06-17,2016.0,6.0,17.0,1
1791,Skylanders: SuperChargers,Platformer,Vicarious Visions,Activision,,2015-09-25,2015-09-20,skylanders+superchargers,https://psprices.com/region-us/search/?q=skylanders+superchargers&platform=PS4&dlc=hide,True,,,,,Platformer,HighPublishers,MedDevelopers,2015-09-20,2015.0,9.0,20.0,1
1792,Skylanders: Swap Force,Platformer,Vicarious Visions,Activision,,2013-11-29,2013-11-15,skylanders+swap+force,https://psprices.com/region-us/search/?q=skylanders+swap+force&platform=PS4&dlc=hide,False,,,,,Platformer,HighPublishers,MedDevelopers,2013-11-15,2013.0,11.0,15.0,1
1793,Skylanders: Trap Team,Platformer,Beenox,Activision,,2014-10-10,2014-10-05,skylanders+trap+team,https://psprices.com/region-us/search/?q=skylanders+trap+team&platform=PS4&dlc=hide,False,,,,,Platformer,HighPublishers,MedDevelopers,2014-10-05,2014.0,10.0,5.0,1
1794,SkyScrappers,"2D fighter, platformer",Ground Shatter,Ground Shatter,,2015-10-21,2015-11-10,skyscrappers,https://psprices.com/region-us/search/?q=skyscrappers&platform=PS4&dlc=hide,True,50.0,-0.0019050890008699038,0.12186926879015943,14.99,Platformer,LowPublishers,MedDevelopers,2015-11-10,2015.0,11.0,10.0,1
1795,SlabWell,Puzzle,Undercoders,Jandusoft,,2019-10-04,2019-10-07,slabwell,https://psprices.com/region-us/search/?q=slabwell&platform=PS4&dlc=hide,True,,,,,Puzzle,LowPublishers,MedDevelopers,2019-10-07,2019.0,10.0,7.0,1
1796,Slain: Back from Hell,"Hack and slash, platformr",Wolfbrew Games,Digerati,2017-05-26,2016-12-05,2016-09-20,slain+back+from+hell,https://psprices.com/region-us/search/?q=slain+back+from+hell&platform=PS4&dlc=hide,True,62.0,-0.0010859386563848118,-0.01505984577773277,14.99,Platformer,MedPublishers,LowDevelopers,2016-09-20,2016.0,9.0,20.0,1
1797,Slayaway Camp: Butcher's Cut,"Horror, puzzle",Blue Wizard,Digerati,,2017-11-01,2017-10-24,slayaway+camp+butchers+cut,https://psprices.com/region-us/search/?q=slayaway+camp+butchers+cut&platform=PS4&dlc=hide,True,77.0,0.00016770827889423662,-0.1820946613035329,16.99,Horror,MedPublishers,LowDevelopers,2017-10-24,2017.0,10.0,24.0,0
1798,Slay the Spire,"Roguelike, deck-building",MegaCrit,Humble Bundle,2019-06-18,2019-05-21,2019-05-21,slay+the+spire,https://psprices.com/region-us/search/?q=slay+the+spire&platform=PS4&dlc=hide,True,91.0,-0.00014659691877640826,-0.04656949775796124,24.99,Strategy,LowPublishers,LowDevelopers,2019-05-21,2019.0,5.0,21.0,0
1799,Sleeping Dogs: Definitive Edition,"Action-adv, open world",United Front Games,Square Enix,,2014-10-10,2014-10-14,sleeping+dogs+definitive+edition,https://psprices.com/region-us/search/?q=sleeping+dogs+definitive+edition&platform=PS4&dlc=hide,True,77.0,-0.0026171328555528598,0.05798448246192812,53.99,Adventure,HighPublishers,LowDevelopers,2014-10-14,2014.0,10.0,14.0,1
1800,Slime Rancher,Action-adventure,Monomi Park,Monomi Park,,2018-08-21,2018-08-21,slime+rancher,https://psprices.com/region-us/search/?q=slime+rancher&platform=PS4&dlc=hide,True,77.0,-0.00022745317414910545,-0.06192423465858763,17.99,Adventure,LowPublishers,LowDevelopers,2018-08-21,2018.0,8.0,21.0,0
1801,Slime-san: Super Slime Edition,Platformer,Fabraz,Headup Games,2018-06-22,2018-06-22,2018-06-22,slime-san+super+slime+edition,https://psprices.com/region-us/search/?q=slime-san+super+slime+edition&platform=PS4&dlc=hide,False,,,,,Platformer,MedPublishers,LowDevelopers,2018-06-22,2018.0,6.0,22.0,1
1802,Small Radios Big Televisions,Puzzle,Fire Face,Adult Swim Games,,2016-11-08,2016-11-08,small+radios+big+televisions,https://psprices.com/region-us/search/?q=small+radios+big+televisions&platform=PS4&dlc=hide,True,67.0,-0.0009770782904147616,0.15256621716280191,9.59,Puzzle,MedPublishers,LowDevelopers,2016-11-08,2016.0,11.0,8.0,0
1803,SmuggleCraft,"Adventure, racing",Happy Badger Studio,Happy Badger Studio,2017-05-23,2017-05-23,2017-05-23,smugglecraft,https://psprices.com/region-us/search/?q=smugglecraft&platform=PS4&dlc=hide,True,,,,,Sports,LowPublishers,LowDevelopers,2017-05-23,2017.0,5.0,23.0,1
1804,Snake Pass,Platformer,Sumo Digital,Sumo Digital,2017-03-29,2017-03-29,2017-03-29,snake+pass,https://psprices.com/region-us/search/?q=snake+pass&platform=PS4&dlc=hide,True,74.0,-0.00030771717139017554,0.10982471424365815,15.99,Platformer,LowPublishers,MedDevelopers,2017-03-29,2017.0,3.0,29.0,0
1805,Sniper: Ghost Warrior 3,Tactical ShooterStealth,CI Games,CI Games,2017-04-04,2017-04-04,2017-04-04,sniper+ghost+warrior+3,https://psprices.com/region-us/search/?q=sniper+ghost+warrior+3&platform=PS4&dlc=hide,True,,,,,Shooter,LowPublishers,MedDevelopers,2017-04-04,2017.0,4.0,4.0,1
1806,Sniper: Ghost Warrior Contracts,Tactical ShooterStealth,CI Games,CI Games,2019-11-22,2019-11-22,2019-11-22,sniper+ghost+warrior+contracts,https://psprices.com/region-us/search/?q=sniper+ghost+warrior+contracts&platform=PS4&dlc=hide,True,,,,,Shooter,LowPublishers,MedDevelopers,2019-11-22,2019.0,11.0,22.0,1
1807,Sniper Elite V2 Remastered,Tactical ShooterStealth,Rebellion Developments,Rebellion Developments,2019-12-19,2019-05-14,2019-05-14,sniper+elite+v2+remastered,https://psprices.com/region-us/search/?q=sniper+elite+v2+remastered&platform=PS4&dlc=hide,True,,,,,Shooter,LowPublishers,HighDevelopers,2019-05-14,2019.0,5.0,14.0,1
1808,Sniper Elite III,Tactical ShooterStealth,Rebellion Developments,505 Games,2014-06-27,2014-06-27,2014-07-01,sniper+elite+iii,https://psprices.com/region-us/search/?q=sniper+elite+iii&platform=PS4&dlc=hide,True,78.0,-0.0008039913629941269,-0.16252601533816124,39.99,Shooter,HighPublishers,HighDevelopers,2014-07-01,2014.0,7.0,1.0,0
1809,Sniper Elite 4,Tactical ShooterStealth,Rebellion Developments,Rebellion Developments,,2017-02-14,2017-02-14,sniper+elite+4,https://psprices.com/region-us/search/?q=sniper+elite+4&platform=PS4&dlc=hide,True,77.0,-0.00046319171310465633,-0.046068129235319236,59.99,Shooter,LowPublishers,HighDevelopers,2017-02-14,2017.0,2.0,14.0,0
1810,SNK 40th Anniversary Collection,Arcade,SNK / Digital Eclipse,NIS America,,2019-03-19,2019-03-22,snk+40th+anniversary+collection,https://psprices.com/region-us/search/?q=snk+40th+anniversary+collection&platform=PS4&dlc=hide,True,76.0,-0.00018058068632922062,-0.11810463769323637,39.99,Action,MedPublishers,LowDevelopers,2019-03-22,2019.0,3.0,22.0,0
